
21. Printing statistics.

=== aes_core ===

        +----------------------------Count including submodules.
        |        +-------------------Area including submodules.
        |        |        +----------Local count, excluding submodules.
        |        |        |        +-Local area, excluding submodules.
        |        |        |        | 
    12855        -    12855        - wires
    13236        -    13236        - wire bits
      156        -      156        - public wires
      537        -      537        - public wire bits
        8        -        8        - ports
      389        -      389        - port bits
        -        -        -        - memories
        -        -        -        - memory bits
        -        -        -        - processes
    12974 1.18E+05    12974 1.18E+05 cells
       13  187.013       13  187.013   sky130_fd_sc_hs__a2111o_1
      113 1.26E+03      113 1.26E+03   sky130_fd_sc_hs__a2111oi_1
        3   57.542        3   57.542   sky130_fd_sc_hs__a2111oi_2
       48  613.786       48  613.786   sky130_fd_sc_hs__a211o_1
      328 3.15E+03      328 3.15E+03   sky130_fd_sc_hs__a211oi_1
        7  111.888        7  111.888   sky130_fd_sc_hs__a211oi_2
        2   57.542        2   57.542   sky130_fd_sc_hs__a211oi_4
        8  102.298        8  102.298   sky130_fd_sc_hs__a21bo_1
       11  123.077       11  123.077   sky130_fd_sc_hs__a21boi_1
       37  413.986       37  413.986   sky130_fd_sc_hs__a21o_1
     1745 1.12E+04     1745 1.12E+04   sky130_fd_sc_hs__a21oi_1
        1   20.779        1   20.779   sky130_fd_sc_hs__a21oi_4
       41   589.81       41   589.81   sky130_fd_sc_hs__a221o_1
      116 1.48E+03      116 1.48E+03   sky130_fd_sc_hs__a221oi_1
        1   19.181        1   19.181   sky130_fd_sc_hs__a221oi_2
        2    70.33        2    70.33   sky130_fd_sc_hs__a221oi_4
       11  175.824       11  175.824   sky130_fd_sc_hs__a222o_1
       23  330.869       23  330.869   sky130_fd_sc_hs__a222oi_1
       79  883.915       79  883.915   sky130_fd_sc_hs__a22o_1
      195 1.87E+03      195 1.87E+03   sky130_fd_sc_hs__a22oi_1
        1   15.984        1   15.984   sky130_fd_sc_hs__a22oi_2
       80  895.104       80  895.104   sky130_fd_sc_hs__a2bb2oi_1
       32   409.19       32   409.19   sky130_fd_sc_hs__a311o_1
      103 1.15E+03      103 1.15E+03   sky130_fd_sc_hs__a311oi_1
        4   76.723        4   76.723   sky130_fd_sc_hs__a311oi_2
        2   67.133        2   67.133   sky130_fd_sc_hs__a311oi_4
       41  458.741       41  458.741   sky130_fd_sc_hs__a31o_1
      118 1.13E+03      118 1.13E+03   sky130_fd_sc_hs__a31oi_1
        1   14.386        1   14.386   sky130_fd_sc_hs__a31oi_2
       14  179.021       14  179.021   sky130_fd_sc_hs__a32o_1
       83   928.67       83   928.67   sky130_fd_sc_hs__a32oi_1
        1   20.779        1   20.779   sky130_fd_sc_hs__a32oi_2
        5   71.928        5   71.928   sky130_fd_sc_hs__a41o_1
       19  212.587       19  212.587   sky130_fd_sc_hs__a41oi_1
      128 1.02E+03      128 1.02E+03   sky130_fd_sc_hs__and2_1
       12   95.904       12   95.904   sky130_fd_sc_hs__and2_2
       22  246.154       22  246.154   sky130_fd_sc_hs__and2b_1
       30  335.664       30  335.664   sky130_fd_sc_hs__and2b_2
       48  460.339       48  460.339   sky130_fd_sc_hs__and3_1
       29  370.829       29  370.829   sky130_fd_sc_hs__and3b_1
        6   67.133        6   67.133   sky130_fd_sc_hs__and4_1
        3   43.157        3   43.157   sky130_fd_sc_hs__and4b_1
        2   31.968        2   31.968   sky130_fd_sc_hs__and4bb_1
        1   35.165        1   35.165   sky130_fd_sc_hs__buf_16
      114  911.088      114  911.088   sky130_fd_sc_hs__buf_2
      104 1.16E+03      104 1.16E+03   sky130_fd_sc_hs__buf_4
       22  421.978       22  421.978   sky130_fd_sc_hs__buf_8
        7   44.755        7   44.755   sky130_fd_sc_hs__clkbuf_1
     1198 7.66E+03     1198 7.66E+03   sky130_fd_sc_hs__clkbuf_2
      120 1.15E+03      120 1.15E+03   sky130_fd_sc_hs__clkbuf_4
        8   38.362        8   38.362   sky130_fd_sc_hs__clkinv_1
      275 1.01E+04      275 1.01E+04   sky130_fd_sc_hs__dfrtp_1
        2   73.526        2   73.526   sky130_fd_sc_hs__dfstp_1
        3   47.952        3   47.952   sky130_fd_sc_hs__ha_1
       66  316.483       66  316.483   sky130_fd_sc_hs__inv_1
      100   479.52      100   479.52   sky130_fd_sc_hs__inv_2
        8  102.298        8  102.298   sky130_fd_sc_hs__maj3_1
       82 1.18E+03       82 1.18E+03   sky130_fd_sc_hs__mux2_1
      104 1.33E+03      104 1.33E+03   sky130_fd_sc_hs__mux2i_1
        1   20.779        1   20.779   sky130_fd_sc_hs__mux2i_2
       32 1.02E+03       32 1.02E+03   sky130_fd_sc_hs__mux4_1
      894 4.29E+03      894 4.29E+03   sky130_fd_sc_hs__nand2_1
        6   47.952        6   47.952   sky130_fd_sc_hs__nand2_2
      443 3.54E+03      443 3.54E+03   sky130_fd_sc_hs__nand2b_1
        8    89.51        8    89.51   sky130_fd_sc_hs__nand2b_2
      104  831.168      104  831.168   sky130_fd_sc_hs__nand3_1
      105 1.01E+03      105 1.01E+03   sky130_fd_sc_hs__nand3b_1
       28  268.531       28  268.531   sky130_fd_sc_hs__nand4_1
       21  234.965       21  234.965   sky130_fd_sc_hs__nand4b_1
        4   57.542        4   57.542   sky130_fd_sc_hs__nand4bb_1
     1051 5.04E+03     1051 5.04E+03   sky130_fd_sc_hs__nor2_1
        8   63.936        8   63.936   sky130_fd_sc_hs__nor2_2
        2   28.771        2   28.771   sky130_fd_sc_hs__nor2_4
        1   27.173        1   27.173   sky130_fd_sc_hs__nor2_8
      332 2.65E+03      332 2.65E+03   sky130_fd_sc_hs__nor2b_1
        6   67.133        6   67.133   sky130_fd_sc_hs__nor2b_2
      281  1.8E+03      281  1.8E+03   sky130_fd_sc_hs__nor3_1
       86  824.774       86  824.774   sky130_fd_sc_hs__nor3b_1
        1   15.984        1   15.984   sky130_fd_sc_hs__nor3b_2
       37  354.845       37  354.845   sky130_fd_sc_hs__nor4_1
        2   28.771        2   28.771   sky130_fd_sc_hs__nor4_2
        2   57.542        2   57.542   sky130_fd_sc_hs__nor4_4
        8    89.51        8    89.51   sky130_fd_sc_hs__nor4b_1
       24  306.893       24  306.893   sky130_fd_sc_hs__o2111a_1
       95 1.06E+03       95 1.06E+03   sky130_fd_sc_hs__o2111ai_1
        1   14.386        1   14.386   sky130_fd_sc_hs__o211a_1
       38  485.914       38  485.914   sky130_fd_sc_hs__o211a_2
      315 3.02E+03      315 3.02E+03   sky130_fd_sc_hs__o211ai_1
      211 2.02E+03      211 2.02E+03   sky130_fd_sc_hs__o21a_1
      927 7.41E+03      927 7.41E+03   sky130_fd_sc_hs__o21ai_1
        1   11.189        1   11.189   sky130_fd_sc_hs__o21ai_2
        9  115.085        9  115.085   sky130_fd_sc_hs__o21ba_1
      110 1.05E+03      110 1.05E+03   sky130_fd_sc_hs__o21bai_1
       62  891.907       62  891.907   sky130_fd_sc_hs__o221a_1
      143  1828.57      143  1828.57   sky130_fd_sc_hs__o221ai_1
        1   33.566        1   33.566   sky130_fd_sc_hs__o221ai_4
       13  166.234       13  166.234   sky130_fd_sc_hs__o22a_2
      324  3107.29      324  3107.29   sky130_fd_sc_hs__o22ai_1
       51  570.629       51  570.629   sky130_fd_sc_hs__o2bb2ai_1
        1   19.181        1   19.181   sky130_fd_sc_hs__o2bb2ai_2
       14  201.398       14  201.398   sky130_fd_sc_hs__o311a_1
        1   14.386        1   14.386   sky130_fd_sc_hs__o311a_2
       87  973.426       87  973.426   sky130_fd_sc_hs__o311ai_1
        6  115.085        6  115.085   sky130_fd_sc_hs__o311ai_2
        1   36.763        1   36.763   sky130_fd_sc_hs__o311ai_4
       63  704.894       63  704.894   sky130_fd_sc_hs__o31a_1
      173 1.66E+03      173 1.66E+03   sky130_fd_sc_hs__o31ai_1
        2   31.968        2   31.968   sky130_fd_sc_hs__o31ai_2
        1   28.771        1   28.771   sky130_fd_sc_hs__o31ai_4
       20  255.744       20  255.744   sky130_fd_sc_hs__o32a_1
       86  962.237       86  962.237   sky130_fd_sc_hs__o32ai_1
        3   62.338        3   62.338   sky130_fd_sc_hs__o32ai_2
        2   73.526        2   73.526   sky130_fd_sc_hs__o32ai_4
        4   57.542        4   57.542   sky130_fd_sc_hs__o41a_1
       35  391.608       35  391.608   sky130_fd_sc_hs__o41ai_1
        1   20.779        1   20.779   sky130_fd_sc_hs__o41ai_2
      134 1.07E+03      134 1.07E+03   sky130_fd_sc_hs__or2_1
       18  143.856       18  143.856   sky130_fd_sc_hs__or2_2
        3   33.566        3   33.566   sky130_fd_sc_hs__or2b_1
        5   55.944        5   55.944   sky130_fd_sc_hs__or2b_2
       47  450.749       47  450.749   sky130_fd_sc_hs__or3_1
       34  434.765       34  434.765   sky130_fd_sc_hs__or3b_1
       13  145.454       13  145.454   sky130_fd_sc_hs__or4_1
        4   57.542        4   57.542   sky130_fd_sc_hs__or4b_2
      430 4.81E+03      430 4.81E+03   sky130_fd_sc_hs__xnor2_1
        2   35.165        2   35.165   sky130_fd_sc_hs__xnor2_2
        2   60.739        2   60.739   sky130_fd_sc_hs__xnor2_4
       97 2.64E+03       97 2.64E+03   sky130_fd_sc_hs__xnor3_1
       97 1.24E+03       97 1.24E+03   sky130_fd_sc_hs__xor2_1
       11  175.824       11  175.824   sky130_fd_sc_hs__xor2_2
        1   28.771        1   28.771   sky130_fd_sc_hs__xor2_4
        6  182.218        6  182.218   sky130_fd_sc_hs__xor3_1

   Chip area for module '\aes_core': 117781.300800
     of which used for sequential elements: 10183.406400 (8.65%)

